Order ID,Product ID,Quantity,Cust ID,Order Date
1084,P115,61,C115,28-Oct-21
1085,P154,74,C124,28-Apr-21
1086,P148,44,C117,13-Oct-21
1087,P141,60,C107,2-Feb-22
1088,P142,66,C106,4-Sep-21
1089,P144,33,C102,9-Jan-20
1090,P135,31,C124,14-Oct-19
1091,P147,70,C112,27-Mar-22
1092,P123,48,C117,13-Dec-19
1093,P156,67,C112,12-Dec-20
1094,P118,62,C110,26-Sep-21
1095,P129,43,C114,17-Dec-20
1096,P118,39,C122,18-Aug-19
1097,P135,75,C115,24-Jul-21
1098,P134,45,C103,15-May-21
1099,P125,25,C108,25-Aug-21
1100,P140,20,C125,23-May-21
1101,P127,60,C114,15-Apr-21
1102,P154,67,C114,1-Sep-21
1103,P134,26,C122,22-Sep-21
1104,P133,20,C113,10-May-20
1105,P144,25,C119,15-Aug-19
1106,P142,54,C119,7-May-20
1107,P136,53,C114,10-May-20
1108,P143,65,C126,9-Jul-21
1109,P118,59,C120,24-Feb-22
1110,P153,51,C122,28-Dec-21
1111,P154,54,C108,3-Apr-20
1112,P149,37,C113,29-Jun-20
1113,P114,32,C122,6-Jan-20
1114,P148,69,C121,3-Feb-21
1115,P141,24,C112,3-Oct-20
1116,P135,53,C121,6-Oct-20
1117,P121,29,C115,22-May-20
1118,P142,39,C124,31-Oct-21
1119,P127,43,C102,28-Oct-21
1120,P141,17,C114,10-Apr-20
1121,P134,42,C115,12-Oct-21
1122,P149,73,C122,25-Sep-19
1123,P154,51,C110,5-Jul-20
1124,P120,25,C121,13-Nov-20
1125,P137,55,C117,1-Jul-20
1126,P119,60,C121,26-Sep-20
1127,P116,43,C113,13-Jan-20
1128,P114,58,C107,29-Sep-21
1129,P155,26,C103,1-Sep-19
1130,P135,23,C119,25-May-20
1131,P145,18,C107,11-Dec-21
1132,P117,29,C110,2-Jun-20
1133,P153,40,C110,29-Jul-20
1134,P142,41,C111,2-Feb-21
1135,P115,25,C118,1-May-22
1136,P118,20,C125,26-Dec-21
1137,P113,61,C115,14-Apr-20
1138,P146,54,C112,3-Feb-22
1139,P152,68,C122,4-Dec-20
1140,P121,71,C124,16-Dec-21
1141,P130,59,C107,20-Oct-21
1142,P129,56,C107,8-Jul-20
1143,P154,20,C118,13-Apr-22
1144,P150,21,C118,21-May-21
1145,P116,16,C103,31-Jul-21
1146,P118,16,C125,27-Dec-19
1147,P148,24,C111,25-Dec-19
1148,P114,40,C119,7-Aug-20
1149,P124,30,C111,1-Dec-21
1150,P129,66,C123,10-Dec-21
1151,P122,20,C116,18-Nov-21
1152,P149,53,C124,9-Mar-20
1153,P147,37,C106,3-Feb-21
1154,P138,16,C111,29-Jun-21
1155,P138,74,C102,5-Mar-21
1156,P112,23,C113,3-Jun-20
1157,P120,19,C126,12-Nov-19
1158,P121,50,C112,3-Sep-19
1159,P139,33,C119,27-Dec-19
1160,P112,73,C125,23-Apr-20
1161,P127,48,C108,25-Aug-20
1162,P152,42,C102,28-Nov-20
1163,P115,65,C109,22-Jul-20
1164,P139,58,C106,6-Sep-21
1165,P118,73,C122,18-Oct-20
1166,P149,63,C105,29-Oct-21
1167,P128,42,C114,27-Jan-20
1168,P153,43,C105,17-Oct-20
1169,P130,34,C122,26-May-22
1170,P157,36,C109,4-Dec-20
1171,P142,28,C122,28-Aug-19
1172,P151,27,C124,3-Jun-20
1173,P158,69,C114,2-May-20
1174,P134,72,C113,22-Jun-21
1175,P150,37,C106,30-Jan-22
1176,P153,45,C115,7-Apr-20
1177,P117,31,C105,8-May-21
1178,P153,27,C104,15-Feb-21
1179,P120,49,C114,13-Aug-20
1180,P138,61,C114,19-Apr-21
1181,P131,54,C111,27-Sep-19
1182,P129,60,C115,25-Jun-22
1183,P142,25,C114,12-Dec-20
1184,P150,32,C109,8-Dec-21
1185,P145,63,C105,12-Feb-22
1186,P157,37,C122,26-Dec-19
1187,P156,52,C105,2-Feb-22
1188,P158,41,C107,15-Nov-21
1189,P144,72,C104,2-Jun-21
1190,P138,72,C111,10-Jan-22
1191,P129,47,C123,23-Dec-19
1192,P126,16,C103,13-Sep-20
1193,P131,49,C113,26-Oct-21
1194,P142,57,C111,29-Jan-22
1195,P150,67,C116,17-Jun-20
1196,P157,64,C118,25-Apr-22
1197,P135,51,C107,3-Jun-20
1198,P149,20,C105,6-Jun-22
1199,P146,74,C110,25-Aug-19
1200,P118,62,C124,11-Feb-21
1201,P115,33,C117,28-Jun-20
1202,P139,31,C115,26-Oct-19
1203,P148,63,C103,20-Feb-21
1204,P135,46,C102,14-Aug-21
1205,P131,24,C111,5-May-20
1206,P143,24,C105,24-May-22
1207,P138,65,C110,29-Nov-19
1208,P126,47,C113,14-Oct-21
1209,P118,62,C105,1-Aug-21
1210,P113,73,C104,27-Jun-22
1211,P128,72,C126,15-Jul-20
1212,P133,64,C122,25-Sep-21
1213,P127,30,C107,11-Feb-20
1214,P130,23,C118,19-Mar-21
1215,P154,38,C122,1-May-20
1216,P111,16,C122,9-Oct-20
1217,P132,32,C104,18-May-20
1218,P151,39,C113,29-Aug-20
1219,P130,68,C101,15-Apr-22
1220,P125,32,C126,29-Mar-22
1221,P121,42,C107,26-Oct-19
1222,P146,72,C110,24-Feb-20
1223,P124,67,C119,1-Jan-21
1224,P137,30,C114,4-Jul-21
1225,P136,74,C101,21-Aug-20
1226,P132,61,C117,5-Jun-22
1227,P140,39,C103,29-Jul-21
1228,P151,34,C106,11-May-21
1229,P119,15,C102,1-Oct-19
1230,P139,64,C110,3-Apr-22
1231,P127,70,C123,24-Sep-21
1232,P115,63,C124,22-Jul-22
1233,P136,55,C111,25-Jan-21
1234,P155,65,C125,18-Dec-21
1235,P127,69,C107,7-Oct-21
1236,P134,16,C126,3-Aug-20
1237,P136,28,C103,25-Oct-20
1238,P115,73,C119,17-Dec-21
1239,P155,64,C125,30-Apr-20
1240,P157,73,C112,22-Oct-19
1241,P143,39,C123,19-Apr-20
1242,P121,60,C119,9-Aug-19
1243,P131,49,C123,23-Nov-19
1244,P112,68,C123,17-Dec-21
1245,P127,71,C117,4-Mar-21
1246,P144,22,C112,25-Jul-22
1247,P153,51,C125,1-Sep-19
1248,P123,58,C126,22-May-20
1249,P131,15,C125,17-Feb-22
1250,P117,62,C108,1-Mar-21
1251,P126,39,C114,30-Nov-21
1252,P139,41,C102,6-Sep-21
1253,P125,58,C114,29-Nov-19
1254,P113,71,C114,12-Nov-20
1255,P140,70,C113,7-Aug-19
1256,P143,39,C112,5-Sep-19
1257,P119,37,C120,6-Sep-19
1258,P134,61,C104,21-Aug-21
1259,P116,45,C114,25-Jun-20
1260,P151,22,C124,27-Dec-19
1261,P126,39,C113,25-May-21
1262,P143,75,C111,19-Feb-20
1263,P120,48,C107,20-Jun-22
1264,P147,27,C117,24-Sep-21
1265,P150,43,C113,8-Jul-22
1266,P133,58,C115,16-Nov-21
1267,P121,44,C105,10-Aug-20
1268,P138,27,C105,11-Sep-21
1269,P152,60,C122,26-Feb-22
1270,P113,45,C119,14-Apr-20
1271,P121,28,C117,28-May-22
1272,P144,35,C125,23-Oct-20
1273,P152,71,C103,17-Apr-22
1274,P132,19,C126,2-Feb-21
1275,P129,69,C102,30-Jul-21
1276,P158,18,C112,30-Mar-20
1277,P143,44,C125,18-Apr-20
1278,P135,37,C109,21-Feb-21
1279,P143,49,C101,19-Oct-20
1280,P155,16,C120,26-Mar-20
1281,P127,43,C116,2-Mar-21
1282,P133,29,C107,17-Sep-19
1283,P126,23,C104,11-May-20
1284,P139,49,C124,20-Aug-19
1285,P113,66,C107,19-Oct-19
1286,P135,35,C102,13-Sep-20
1287,P112,51,C124,25-Jul-21
1288,P122,53,C121,15-May-21
1289,P144,23,C107,20-Sep-20
1290,P126,41,C114,3-Jun-21
1291,P136,61,C103,3-Aug-19
1292,P141,68,C116,10-Jan-20
1293,P114,61,C119,22-Apr-20
1294,P136,63,C120,26-Oct-21
1295,P116,37,C113,13-Oct-20
1296,P120,41,C118,29-Apr-22
1297,P148,71,C117,17-Oct-21
1298,P136,30,C116,11-Feb-22
1299,P115,30,C102,21-Jul-21
1300,P124,57,C102,13-Mar-22
1301,P141,20,C102,12-May-22
1302,P134,47,C117,3-Aug-19
1303,P142,32,C112,22-Apr-22
1304,P150,17,C118,24-Jun-20
1305,P132,72,C101,11-Feb-20
1306,P146,41,C110,18-Oct-19
1307,P121,44,C115,4-Sep-20
1308,P142,38,C115,16-Nov-20
1309,P157,25,C110,5-Jan-20
1310,P141,32,C122,21-Dec-20
1311,P113,58,C105,16-Apr-21
1312,P117,32,C113,6-Aug-21
1313,P131,70,C114,22-Feb-21
1314,P124,37,C124,22-Jul-22
1315,P138,63,C123,16-Jan-21
1316,P125,34,C120,12-Sep-21
1317,P150,36,C125,1-Apr-21
1318,P126,24,C105,18-May-22
1319,P131,74,C109,5-Mar-22
1320,P129,67,C126,11-Jul-21
1321,P134,18,C116,17-Jul-21
1322,P158,30,C105,16-Nov-19
1323,P120,47,C125,26-Aug-21
1324,P135,39,C117,3-Apr-21
1325,P115,24,C106,11-May-21
1326,P122,50,C117,9-May-22
1327,P113,27,C105,7-Dec-21
1328,P135,57,C115,6-Jun-20
1329,P117,34,C120,16-May-20
1330,P140,59,C116,4-Mar-22
1331,P123,32,C118,9-May-20
1332,P151,58,C117,6-Dec-21
1333,P156,25,C102,6-Jun-22
1334,P115,18,C108,22-Jun-20
1335,P151,42,C124,27-Feb-21
1336,P120,62,C112,28-Jun-21
1337,P134,36,C109,17-Jul-20
1338,P116,23,C119,5-Aug-19
1339,P124,46,C117,6-May-22
1340,P153,48,C106,12-Oct-21
1341,P136,48,C103,17-Nov-19
1342,P136,49,C108,11-Jan-20
1343,P132,53,C102,26-Feb-21
1344,P145,58,C103,24-May-21
1345,P133,46,C105,3-Sep-21
1346,P132,61,C109,10-Dec-21
1347,P139,37,C102,28-Jun-20
1348,P128,15,C113,21-Jun-20
1349,P113,17,C102,26-Nov-19
1350,P117,59,C110,19-Oct-21
1351,P145,32,C101,3-Oct-20
1352,P148,27,C109,20-Nov-19
1353,P148,32,C106,10-Mar-20
1354,P136,48,C111,30-Aug-21
1355,P115,47,C109,21-Feb-21
1356,P142,45,C116,13-Apr-20
1357,P117,54,C121,10-Feb-21
1358,P141,53,C107,25-Feb-21
1359,P140,45,C122,21-Aug-21
1360,P151,53,C123,12-Jan-21
1361,P150,28,C105,31-Dec-19
1362,P114,20,C104,27-Nov-21
1363,P131,54,C125,19-May-20
1364,P144,28,C107,29-Dec-19
1365,P140,27,C118,9-Dec-19
1366,P138,57,C123,22-Sep-21
1367,P125,52,C121,29-May-20
1368,P141,50,C112,5-Jan-20
1369,P133,44,C116,9-Oct-19
1370,P123,19,C114,16-Jan-22
1371,P157,63,C110,2-Nov-20
1372,P125,30,C114,15-Jul-21
1373,P145,70,C117,21-Apr-21
1374,P118,58,C117,21-Dec-21
1375,P125,67,C113,25-Jul-21
1376,P148,47,C105,16-Nov-19
1377,P136,53,C101,28-Feb-22
1378,P154,15,C117,23-May-22
1379,P158,27,C113,22-Jan-22
1380,P112,44,C113,26-Aug-21
1381,P118,66,C117,22-Oct-19
1382,P124,42,C105,27-Oct-20
1383,P127,37,C103,10-Mar-20
1384,P120,60,C105,19-Mar-20
1385,P122,25,C104,28-Feb-20
1386,P154,68,C124,10-Oct-20
1387,P144,55,C106,8-Jun-20
1388,P135,15,C107,1-Oct-21
1389,P115,46,C114,21-Feb-20
1390,P152,62,C109,12-Aug-21
1391,P130,68,C111,24-Jan-20
1392,P144,60,C118,7-Jul-20
1393,P115,33,C120,11-May-22
1394,P147,71,C108,19-Jan-22
1395,P153,21,C112,14-Aug-19
1396,P119,74,C116,10-May-20
1397,P113,64,C115,13-Jul-21
1398,P120,36,C114,25-Jan-21
1399,P136,59,C124,1-Sep-20
1400,P114,33,C104,27-Aug-20
1401,P132,30,C104,2-Mar-21
1402,P134,62,C117,8-Dec-21
1403,P128,19,C104,20-Dec-20
1404,P132,46,C111,2-Aug-19
1405,P140,44,C124,21-Dec-21
1406,P152,56,C124,12-Apr-21
1407,P128,38,C123,20-Apr-21
1408,P137,20,C107,13-Jun-22
1409,P135,27,C105,1-Jan-21
1410,P148,53,C122,30-Aug-19
1411,P157,25,C119,1-Dec-19
1412,P134,27,C107,28-May-22
1413,P124,52,C109,24-Mar-20
1414,P134,16,C115,2-Nov-20
1415,P153,69,C112,17-Aug-19
1416,P131,44,C113,17-Jun-20
1417,P157,15,C125,25-Apr-22
1418,P137,25,C110,23-May-21
1419,P144,18,C111,17-Jan-20
1420,P137,54,C125,12-Sep-19
1421,P144,55,C106,11-Jul-21
1422,P135,33,C101,26-Aug-20
1423,P111,22,C111,10-Dec-20
1424,P142,39,C102,1-May-21
1425,P118,74,C104,16-May-20
1426,P145,30,C115,17-Jan-22
1427,P147,72,C113,27-Jul-20
1428,P124,50,C123,9-May-21
1429,P131,49,C105,11-Jul-20
1430,P131,60,C104,29-May-20
1431,P153,56,C109,26-Mar-22
1432,P154,57,C120,20-Nov-19
1433,P126,71,C106,19-Nov-19
1434,P127,62,C124,20-Oct-21
1435,P137,45,C120,24-Jul-21
1436,P137,66,C112,28-Jun-21
1437,P141,35,C110,13-Apr-21
1438,P152,25,C107,14-Nov-20
1439,P155,66,C106,25-Jan-20
1440,P123,27,C112,17-Sep-21
1441,P138,61,C102,7-May-21
1442,P129,45,C105,9-Mar-20
1443,P151,54,C119,10-Jul-21
1444,P145,39,C115,26-May-20
1445,P123,45,C122,13-Dec-21
1446,P143,29,C116,17-Jul-21
1447,P125,48,C118,28-Dec-19
1448,P149,30,C123,2-Nov-21
1449,P149,43,C118,12-Jan-22
1450,P137,69,C120,24-Jun-22
1451,P133,35,C106,30-Jul-19
1452,P136,36,C124,8-May-22
1453,P157,61,C110,8-Oct-21
1454,P130,68,C116,5-Jun-22
1455,P129,49,C102,8-Jun-22
1456,P141,28,C116,1-Feb-20
1457,P152,25,C108,11-Apr-21
1458,P158,69,C125,22-Dec-20
1459,P132,53,C120,6-Nov-20
1460,P140,36,C121,30-Oct-21
1461,P117,21,C123,19-Jul-20
1462,P138,48,C124,19-Oct-19
1463,P155,57,C113,17-May-21
1464,P155,36,C108,10-Sep-20
1465,P120,54,C121,9-Feb-21
1466,P127,58,C123,4-Mar-20
1467,P142,51,C122,3-Apr-21
1468,P113,30,C108,18-Sep-21
1469,P138,74,C114,17-Jun-20
1470,P138,30,C118,31-Mar-21
1471,P128,46,C119,2-Sep-20
1472,P131,70,C116,21-Aug-20
1473,P123,59,C123,14-Jun-20
1474,P117,17,C122,11-Feb-21
1475,P143,28,C112,13-Jan-22
1476,P138,39,C111,11-Nov-19
1477,P124,53,C115,15-Dec-20
1478,P122,73,C112,23-Aug-20
1479,P150,46,C119,24-Sep-20
1480,P114,70,C102,26-Jun-22
1481,P139,48,C123,23-May-22
1482,P114,69,C121,15-May-20
1483,P123,35,C111,22-Jul-20
1484,P137,23,C112,7-May-21
1485,P133,18,C115,29-Aug-19
1486,P117,27,C105,23-Nov-21
1487,P125,17,C107,25-Aug-20
1488,P112,29,C123,2-Jul-20
1489,P153,35,C122,11-Jul-22
1490,P114,55,C103,27-Sep-21
1491,P157,75,C118,29-Apr-20
1492,P130,50,C118,15-Jan-20
1493,P113,30,C118,3-Dec-19
1494,P121,74,C109,6-Jan-21
1495,P145,19,C103,23-Jan-21
1496,P139,64,C107,30-Jan-22
1497,P136,16,C119,11-Nov-21
1498,P137,54,C105,10-Feb-20
1499,P129,61,C111,20-Oct-19
1500,P142,31,C102,14-Jul-20
1501,P115,21,C109,20-Aug-19
1502,P113,31,C112,11-Jul-20
1503,P126,54,C105,23-Mar-20
1504,P122,70,C115,10-Jun-20
1505,P145,38,C116,15-Aug-21
1506,P129,17,C118,12-Oct-21
1507,P113,71,C125,12-Dec-21
1508,P137,51,C110,27-Jun-21
1509,P118,59,C120,25-May-21
1510,P141,73,C103,18-Apr-22
1511,P113,39,C104,25-Jun-20
1512,P127,70,C121,9-Jan-21
1513,P116,65,C103,7-May-21
1514,P116,26,C116,19-Mar-20
1515,P117,21,C116,18-Feb-22
1516,P125,44,C104,21-Sep-21
1517,P133,31,C106,1-Oct-20
1518,P114,36,C115,18-Nov-19
1519,P131,46,C116,8-Jan-20
1520,P121,31,C113,9-Dec-20
1521,P149,16,C108,14-Jun-21
1522,P150,25,C118,12-Oct-19
1523,P151,18,C116,24-Feb-22
1524,P123,21,C114,23-Feb-22
1525,P111,46,C103,24-Apr-21
1526,P120,53,C115,2-Feb-21
1527,P144,16,C105,7-Mar-20
1528,P138,30,C117,4-Nov-20
1529,P135,50,C112,29-Jul-20
1530,P153,28,C118,13-Jan-20
1531,P113,70,C103,28-Jul-19
1532,P128,25,C114,23-Nov-21
1533,P127,59,C123,8-Jun-21
1534,P145,28,C102,29-Apr-22
1535,P120,43,C107,23-May-20
1536,P120,51,C104,14-Jul-20
1537,P128,16,C107,10-Mar-20
1538,P158,41,C106,17-Mar-21
1539,P156,63,C125,2-Sep-20
1540,P140,66,C121,7-May-20
1541,P152,34,C117,22-May-22
1542,P151,74,C125,31-May-22
1543,P126,35,C105,25-Oct-19
1544,P128,27,C119,4-Sep-21
1545,P126,41,C104,18-Feb-22
1546,P155,24,C126,8-May-21
1547,P113,34,C123,13-May-20
1548,P117,63,C105,9-May-20
1549,P112,39,C108,12-Jun-21
1550,P122,28,C125,19-Dec-20
1551,P150,45,C114,27-Mar-21
1552,P115,54,C105,1-Apr-20
1553,P150,50,C124,2-Apr-21
1554,P157,45,C113,30-Jan-20
1555,P121,71,C117,9-May-20
1556,P133,53,C107,11-May-22
1557,P134,40,C108,10-Sep-19
1558,P119,53,C107,9-Aug-19
1559,P156,68,C118,24-Oct-21
1560,P132,47,C106,22-Jul-20
1561,P120,32,C112,13-Jun-22
1562,P133,27,C118,21-May-21
1563,P125,27,C104,3-Sep-20
1564,P148,30,C107,23-Apr-22
1565,P149,26,C117,21-Aug-19
1566,P150,17,C123,7-Nov-19
1567,P149,70,C125,28-Sep-20
1568,P129,56,C117,11-Jun-20
1569,P126,26,C119,4-Mar-20
1570,P155,71,C106,25-Nov-21
1571,P156,52,C104,12-Nov-19
1572,P128,61,C108,21-Apr-21
1573,P142,46,C104,26-Jan-22
1574,P119,32,C114,10-Aug-20
1575,P124,56,C116,4-Mar-20
1576,P135,30,C114,23-Jan-21
1577,P120,50,C119,15-Jun-22
1578,P150,37,C113,10-Jun-21
1579,P141,32,C116,31-Jul-20
1580,P140,30,C113,21-May-21
1581,P115,31,C121,7-Mar-20
1582,P134,26,C115,20-Jan-20
1583,P155,43,C104,5-Apr-21
1584,P143,71,C121,3-Nov-19
1585,P154,44,C103,28-Aug-20
1586,P152,74,C119,4-Sep-20
1587,P124,24,C102,30-Nov-19
1588,P145,56,C120,6-Feb-22
1589,P116,59,C123,14-Mar-21
1590,P152,18,C125,24-Aug-20
1591,P144,66,C102,4-Apr-20
1592,P133,26,C109,14-Apr-20
1593,P121,24,C122,22-Jul-21
1594,P157,50,C109,17-May-22
1595,P125,74,C104,24-Jun-20
1596,P114,20,C123,1-Nov-19
1597,P119,50,C108,10-Sep-20
1598,P127,73,C125,3-Feb-22
1599,P124,56,C122,23-Sep-19
1600,P129,26,C120,24-Aug-20
1601,P150,28,C124,15-Feb-21
1602,P145,59,C108,27-Jan-20
1603,P144,30,C114,7-Apr-22
1604,P138,34,C116,4-Jan-21
1605,P126,64,C117,22-Mar-22
1606,P117,29,C115,3-Feb-21
1607,P135,31,C118,17-Sep-21
1608,P133,63,C106,30-Jun-22
1609,P152,44,C112,9-Jul-22
1610,P157,34,C105,6-Aug-21
1611,P141,50,C107,12-Feb-20
1612,P134,17,C107,12-Aug-21
1613,P133,52,C117,30-Dec-19
1614,P128,65,C106,29-Apr-20
1615,P129,36,C116,29-Nov-20
1616,P140,53,C111,5-Jan-22
1617,P156,17,C102,31-Mar-20
1618,P127,21,C106,14-Jul-21
1619,P128,23,C117,24-Sep-20
1620,P115,27,C109,29-Nov-21
1621,P119,42,C102,16-Nov-20
1622,P157,55,C121,23-Sep-20
1623,P128,74,C112,27-Nov-20
1624,P120,42,C118,2-Dec-21
1625,P140,19,C109,11-Jun-20
1626,P146,27,C109,9-Mar-22
1627,P146,68,C110,23-Jul-22
1628,P113,17,C104,29-Jan-22
1629,P123,46,C117,4-Sep-19
1630,P118,17,C101,27-Aug-19
1631,P156,49,C106,26-Dec-21
1632,P136,73,C123,8-May-20
1633,P144,35,C110,4-Dec-21
1634,P132,44,C103,15-Feb-21
1635,P145,22,C110,22-Dec-21
1636,P143,67,C120,12-Jun-22
1637,P141,15,C115,27-Jan-20
1638,P145,18,C119,6-Jan-21
1639,P142,73,C118,31-May-20
1640,P155,50,C124,26-Feb-20
1641,P147,48,C125,24-Nov-19
1642,P122,38,C109,15-Nov-19
1643,P121,70,C113,23-Dec-21
1644,P145,38,C113,2-Sep-20
1645,P152,71,C124,4-Dec-19
1646,P138,70,C108,27-Nov-19
1647,P131,68,C126,12-Apr-20
1648,P141,18,C115,4-Apr-22
1649,P121,35,C105,4-Jan-21
1650,P131,41,C123,2-May-21
1651,P124,19,C106,30-Jul-20
1652,P144,47,C125,18-Jan-20
1653,P135,54,C102,10-Dec-19
1654,P117,47,C115,19-Feb-21
1655,P137,26,C125,7-Dec-21
1656,P143,23,C113,14-Jun-22
1657,P111,36,C102,14-May-22
1658,P144,42,C107,16-Jul-22
1659,P158,55,C116,7-May-20
1660,P119,22,C102,29-Jul-19
1661,P131,18,C107,26-Nov-21
1662,P122,59,C116,8-Mar-22
1663,P134,42,C111,4-Dec-19
1664,P119,62,C115,6-Jul-21
1665,P127,64,C116,7-Aug-19
1666,P127,34,C102,5-Jan-21
1667,P135,26,C107,2-Oct-21
1668,P131,16,C109,22-Feb-22
1669,P138,58,C109,18-Jan-22
1670,P136,41,C123,8-Jul-22
1671,P150,49,C125,20-Nov-20
1672,P113,51,C111,10-Jul-21
1673,P150,21,C114,10-Dec-19
1674,P132,57,C122,11-Jan-20
1675,P147,64,C111,5-Nov-21
1676,P148,30,C126,28-May-21
1677,P131,36,C119,17-Mar-20
1678,P145,49,C123,18-Oct-20
1679,P133,43,C124,12-Apr-20
1680,P147,27,C103,2-Nov-19
1681,P128,46,C108,3-Sep-19
1682,P155,15,C111,20-May-22
1683,P147,70,C112,21-Jun-20
1684,P129,62,C111,3-Jun-20
1685,P118,24,C103,7-Aug-20
1686,P149,45,C106,22-Jul-22
1687,P127,35,C110,19-Apr-21
1688,P139,34,C112,10-Oct-21
1689,P155,59,C124,12-May-20
1690,P152,18,C108,14-May-22
1691,P118,26,C115,10-Apr-20
1692,P123,53,C103,1-Jul-21
1693,P117,62,C117,28-Sep-20
1694,P130,41,C121,14-Mar-20
1695,P116,55,C121,20-Jan-20
1696,P137,31,C118,31-Oct-21
1697,P157,61,C118,21-Jan-22
1698,P131,33,C105,5-Apr-22
1699,P152,43,C110,31-Oct-20
1700,P123,41,C110,29-May-20
1701,P150,36,C102,25-Aug-19
1702,P114,68,C104,20-Sep-21
1703,P131,55,C118,6-May-22
1704,P143,66,C109,1-Feb-20
1705,P140,15,C107,22-Dec-20
1706,P123,40,C119,27-Jul-21
1707,P140,58,C123,26-Apr-20
1708,P116,44,C107,11-Apr-22
1709,P130,71,C120,9-May-22
1710,P141,67,C106,25-Sep-19
1711,P130,22,C121,12-Feb-22
1712,P155,74,C124,11-Jun-22
1713,P137,32,C109,21-Nov-20
1714,P117,55,C108,9-Mar-22
1715,P147,41,C115,22-Feb-20
1716,P151,47,C124,3-Sep-20
1717,P117,69,C123,6-Mar-22
1718,P137,58,C113,6-Aug-20
1719,P147,30,C119,3-Sep-19
1720,P149,60,C116,24-Nov-19
1721,P158,68,C119,26-Aug-19
1722,P120,22,C124,6-Jan-20
1723,P116,63,C120,17-May-22
1724,P128,55,C116,16-Mar-22
1725,P154,62,C122,16-Oct-21
1726,P125,67,C107,4-Dec-20
1727,P152,48,C123,19-Mar-22
1728,P146,55,C121,25-Dec-21
1729,P130,45,C110,21-Mar-22
1730,P120,72,C108,4-Jan-22
1731,P114,63,C105,1-Dec-20
1732,P145,52,C108,20-Feb-21
1733,P127,43,C104,4-Nov-21
1734,P152,30,C104,9-Jul-22
1735,P125,18,C126,31-Dec-21
1736,P137,18,C125,8-Dec-21
1737,P112,43,C114,8-Dec-21
1738,P140,69,C110,20-Mar-21
1739,P148,16,C123,15-Jul-20
1740,P147,66,C111,8-May-22
1741,P114,42,C118,20-May-20
1742,P141,63,C103,11-Oct-19
